Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
NOS, SGPS, SA;EUR;1870000000.0;0.13 Ton / Thousand (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;19.16;5.0;15.0;0.409;0.143;;0.01;0.333;212772.0;
REN;EUR;1468000000.0;61.9923 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;52.0;5.0;14.0;0.253;0.29;0.017;;0.357;994269.962;
SEMAPA;EUR;1232000000.0;;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;29.0;3.0;8.0;0.159;0.176;;;0.375;16167851.545;
SONAE;EUR;1806000000.0;1,096.1479 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTSON0AM0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;21.53;3.0;10.0;0.66;;0.011;0.007;0.3;806124.812;0.25
THE NAVIGATOR COMP;EUR;2809000000.0;776.9302 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTPTI0AM0006;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;41.0;3.0;13.0;0.171;;;;0.231;11434862.203;
AIB GROUP PLC;EUR;13225000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00BF0L3536;30, Financials;3010, Banks;301010, Banks;30101010, Banks;30.8;6.0;15.0;;0.37;0.189;;0.4;;
BANK OF IRELAND GROUP PLC;EUR;10508000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00BD1RP616;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;4.0;11.0;;0.46;;;0.364;;
CAIRN HOMES PLC;EUR;1053000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00BWY4ZF18;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;;3.0;9.0;0.25;0.2;0.195;;0.333;;
CORRE ENERGY B.V.;EUR;61579000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;NL0015000DY3;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;;0.0;4.0;;;;;0.0;;
CRH PLC;EUR;50000.0;;Stock;Preferred Shares;Euronext Growth Dublin;IE0001827264;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;;;;;;;;
