Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Rate of resignation in %
CTT-CORREIOS DE PORTUGAL, SA;EUR;640422000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTCTT0AM0001;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206040, Delivery Services;20.6938;0.39;
EDP;EUR;15033000000.0;;;;;19.4 (Low risk);Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;301.6116;0.29;0.057999999999999996
EDP RENOVAVEIS;EUR;13097000000.0;;;;;16.2 (Low Risk);Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;91.90230000000001;0.34;0.142
GALP ENERGIA-NOM;EUR;11515000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;0.45;
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;1155000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;33.420915;0.4;
Ibersol-SGPS;EUR;295670000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars;31.717475;0.53;
J.MARTINS,SGPS;EUR;11151000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;1766.3470120000002;0.7595999999999999;
MOTA ENGIL;EUR;1301000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;1403.5832;0.14;
NOS, SGPS, SA;EUR;1849000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;0.1391;0.40880000000000005;
REN;EUR;1468000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;66.331761;0.253;
SEMAPA;EUR;1224000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;;0.159;
SONAE;EUR;1746000000.0;;;;;19;Stock;Ordinary Shares;Euronext Lisbon;PTSON0AM0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;1172.878253;0.66;0.25
THE NAVIGATOR COMP;EUR;2809000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTPTI0AM0006;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;831.3153140000001;0.1705;
AIB GROUP PLC;EUR;13041000000.0;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BF0L3536;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;
BANK OF IRELAND GROUP PLC;EUR;10145000000.0;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BD1RP616;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;
CAIRN HOMES PLC;EUR;1052999999.9999999;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BWY4ZF18;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;;0.25;
CORRE ENERGY B.V.;EUR;60863000.0;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;NL0015000DY3;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;;;
CRH PLC;EUR;50000.0;;;;;;Stock;Preferred Shares;Euronext Growth Dublin;IE0001827264;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;
DALATA HOTEL GROUP PLC;EUR;932930000.0;;;;;22.0;Stock;Ordinary Shares;Euronext Dublin;IE00BJMZDW83;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;67.585801;;
