Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Share of women in management bodies;Gender pay gap;Professional equality index;Rate of employees with disabilities;Average training hours per employee;Board gender diversity (female board members / total board members);Number of female board members;Number of board members;Total energy consumption; Ratio of non-recycled waste
KONINKLIJKE AHOLD DELHAIZE N.V.;EUR;25.614B;;;AAA;;26.2; Ton / Million (EUR);52%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011794037;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;25%;;;;;44.40%;4 unit;9 unit;6,812 GWh;
AKZO NOBEL;EUR;11.311B;;;;;;;27%;7%;Stock;Ordinary Shares;Euronext Amsterdam;NL0013267909;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;;;;;2.5 unit;37.50%;3 unit;8 unit;5,920 terajoule;
ARCELORMITTAL SA;EUR;20.331B;;;;;;3,373.201 Ton / Million (USD);;;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;15.70%;;;;;30%;3 unit;10 unit;1,392,000,000 gigajoule;
ASM International N.V.;EUR;27.146B;;;;;; Ton / Million (EUR);17%;6.20%;Stock;Ordinary Shares;Euronext Amsterdam;NL0000334118;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment;;2%;;;;50%;3 unit;6 unit;87,370 MWh;
ASML HOLDING;EUR;334.732B;;;;;;53.8487 Ton / Million (EUR);20%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010273215;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment;; %;;;60 unit;44.44%;4 unit;9 unit;1,729 terajoule;
ASR NEDERLAND;EUR;9.624B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011872643;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;;;;;;;;;
BE Semiconductor Industries N.V.;EUR;11.255B;;;;;15.2;1.31 Ton / Million (EUR);17%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012866412;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;17%;;;;31 unit;40%;2 unit;5 unit;22 GWh;
DSM FIRMENICH AG;EUR;27.126B;;;;;;;37%;3.60%;Stock;Ordinary Shares;Euronext Amsterdam;CH1216478797;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;33.33%; %;;; unit;33.33%;4 unit;12 unit;;
EXOR;EUR;22.452B;;;;;;0.0282 Ton / Million (EUR);50%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012059018;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;50%;;;;;33.33%;3 unit;9 unit;;
HEINEKEN;EUR;50.815B;;;;;;210.222 Ton / Million (EUR);24%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009165;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers;28%;;;;6.24 unit;44.44%;4 unit;9 unit;7,009 GWh;
IMCD;EUR;8.719B;;;;;;36.32 Ton / Million (EUR);54%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010801007;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;14%;;;;14 unit;40%;2 unit;5 unit;128,186 gigajoule;
ING GROEP N.V.;EUR;49.888B;;;;;;; %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011821202;30, Financials;3010, Banks;301010, Banks;30101010, Banks;33.30%; %;;;;33.30%;3 unit;9 unit; MWh;
KPN KON;EUR;13.417B;;;;;;45.2565 Ton / Million (EUR);22.10%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009082;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;;2.20%;;;37.2 unit;50%;4 unit;8 unit;2,036,000 terajoule;
NN GROUP;EUR;12.189B;;;;;;0.37 Ton / Million (EUR);50%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010773842;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;40%;28%;;;;42.90%;3 unit;7 unit;33,000 MWh;
KON.PHILIPS N.V.;EUR;17.211B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009538;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;;;;;;;;;;
PROSUS;EUR;74.011B;;;;;;0.2568 Ton / Million (USD);42.90%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0013654783;10, Technology;1010, Technology;101010, Software and Computer Services;10101020, Consumer Digital Services;;;;; unit;37.50%;6 unit;16 unit;94,795 MWh;
Randstad N.V.;EUR;8.738B;;;;;;20.2815 Ton / Million (EUR);67%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000379121;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205025, Business Training and Employment Agencies;23%;;;28.15%;18.6 unit;42.86%;3 unit;7 unit;;
RELX;EUR;74.338B;;;;;;0.8505 Ton / Million (GBP);50%;8.40%;Stock;Ordinary Shares;Euronext Amsterdam;GB00B2B0DG97;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing;31%;;;;13.86 unit;40%;4 unit;10 unit;110,750 MWh;
SHELL PLC;EUR;218.297B;;;;;;4,267.5616 Ton / Million (USD);33%;5%;Stock;Ordinary Shares;Euronext Amsterdam;GB00BP6MXD84;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;30.40%;20.70%;;;;54.55%;6 unit;11 unit;199,000,000 MWh;
UNIVERSAL MUSIC GROUP;EUR;49.190B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0015000IY2;40, Consumer Discretionary;4030, Media;403010, Media;40301010, Entertainment;;;;;;;;;;
UNILEVER PLC;EUR;116.539B;;;;;;0 Million tons / Million (EUR);36%;;Stock;Ordinary Shares;Euronext Amsterdam;GB00B10RZP78;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201020, Personal Products;23%;;;;;38.46%;5 unit;13 unit;6,609,692,000 kWh;
WOLTERS KLUWER;EUR;35.202B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000395903;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing;;;;;;;;;;
AB INBEV;EUR;97.336B;;;;;;142.249 Ton / Million (USD);22%;;Stock;Ordinary Shares;Euronext Brussels;BE0974293251;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers;28%;;;;;33.33%;5 unit;15 unit;55,450,000 gigajoule;
ACKERMANS V.HAAREN;EUR;5.336B;;;;;7.9;0.03 Ton / Million (EUR);44.90%;;Stock;Ordinary Shares;Euronext Brussels;BE0003764785;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;14.30%;;;;;33.30%;4 unit;12 unit;;
AEDIFICA;EUR;2.748B;;;;;;8.7965 Ton / Million (EUR);37.19%;;Stock;Ordinary Shares;Euronext Brussels;BE0003851681;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;20%;19%;;;20.2 unit;41.67%;5 unit;12 unit;241,138,489 kWh;
AGEAS;EUR;8.105B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974264930;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;;;;;;;;;;
ARGENX SE;EUR;20.325B;;;;;;;63%;4.27%;Stock;Ordinary Shares;Euronext Brussels;NL0010832176;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;39%;;;;;33.33%;3 unit;9 unit;1,346,361 kWh;
COFINIMMO;EUR;2.289B;B;;AA;;11.2 (low risk);9 Ton / Million (EUR);53%;;Stock;Ordinary Shares;Euronext Brussels;BE0003593044;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;40%; %;;;40.5 unit;30.80%;4 unit;13 unit;260,619 MWh;
D'IETEREN GROUP;EUR;11.043B;;;;;11.3;7.9484 Ton / Million (EUR);50%;;Stock;Ordinary Shares;Euronext Brussels;BE0974259880;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101010, Auto Services;23%;;;;33.9 unit;30%;3 unit;10 unit;453.3 MWh;
ELIA GROUP;EUR;6.823B;;;;;;174.0501 Ton / Million (EUR);22.90%;;Stock;Ordinary Shares;Euronext Brussels;BE0003822393;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;22.90%;;;;18.46 unit;28.57%;4 unit;14 unit;;
GALAPAGOS;EUR;1.778B;;;;;;16.59 Ton / Million (EUR);56%;12%;Stock;Ordinary Shares;Euronext Amsterdam;BE0003818359;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;43%;;;;;33.30%;3 unit;9 unit;18,687 MWh;
GBL;EUR;10.247B;;;;;9.2;131,153.8842 Ton / Million (EUR);71%;;Stock;Ordinary Shares;Euronext Brussels;BE0003797140;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;25%;;;;9.5 unit;38.46%;5 unit;13 unit;;
KBC;EUR;29.211B;;;;;;;57%;;Stock;Ordinary Shares;Euronext Brussels;BE0003565737;30, Financials;3010, Banks;301010, Banks;30101010, Banks;14%;;;; unit;37.50%;6 unit;16 unit;138,597,150 kWh;
LOTUS BAKERIES;EUR;7.352B;;;;;;;51%;;Stock;Ordinary Shares;Euronext Brussels;BE0003604155;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;44%;;;;15 unit;30%;3 unit;10 unit;184,477 MWh;
MELEXIS;;;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0165385973;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;;;;;;;;;
SOFINA;;;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003717312;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;;;;;;;;;;
SOLVAY;EUR;3.245B;;;;;;2,649.5661 Ton / Million (EUR);24%;;Stock;Ordinary Shares;Euronext Brussels;BE0003470755;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201000, Chemicals: Diversified;26.50%;4%;;;12.1 unit;46.67%;7 unit;15 unit;127,000 terajoule;
SYENSQO;EUR;9.349B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974464977;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101000, Diversified Materials;;;;;;;;;;
UCB;EUR;23.341B;;;;;;5.5253 Ton / Million (EUR);51.12%;5.40%;Stock;Ordinary Shares;Euronext Brussels;BE0003739530;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;38%;;;;36 unit;38.46%;5 unit;13 unit;932,600 gigajoule;
UMICORE;EUR;5.204B;;;;;;821.9888 Ton / Million (EUR);23.45%;6.53%;Stock;Ordinary Shares;Euronext Brussels;BE0974320526;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;13.69%;;;;46.6 unit;40%;4 unit;10 unit;7,300 terajoule;
WAREHOUSES DE PAUW;EUR;5.481B;B;;;;;30.2201 Ton / Million (EUR);43%;2%;Stock;Ordinary Shares;Euronext Brussels;BE0974349814;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102020, Industrial REITs;0%;1.44%;;;23.55 unit;33.33%;2 unit;6 unit;368,487,596 MWh;
ALTRI SGPS;EUR;1.011B;A-;;;;;262.8806 Ton / Million (EUR);18%;;Stock;Ordinary Shares;Euronext Lisbon;PTALT0AE0002;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;24%;;;;29 unit;33.33%;4 unit;12 unit;16,946,797 gigajoule;
B.C.P.-BCO COMERCIAL PORTUGUES;EUR;4.737B;;;;;;;55%;;Stock;Ordinary Shares;Euronext Lisbon;PTBCP0AM0015;30, Financials;3010, Banks;301010, Banks;30101010, Banks;25%;;;1.40%;45 unit;23.53%;4 unit;17 unit;312 terajoule;
Corticeira Amorim-SGPS;EUR;1.289B;;;;;;167.8415 Ton / Million (EUR);26%;;Stock;Ordinary Shares;Euronext Lisbon;PTCOR0AE0006;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;26%;0.13%;;;18 unit;40%;4 unit;10 unit;1,815,871 gigajoule;
